username,text
713dwf,staff accommod room request upon arriv room extrem clean organ kitchenett nice touch nice pool kid spa breakfast food select averag limit space great place stay great valu
716butterfly,famili stay neptun hotel neptun hotel nice place stay spaciou room us importantli hotel right beach get wake ocean yolanda help us check nice help id stay
717stacyb,ok stay wish hotel full size bathroom slide door toilet shower sink outsid tini seem less privat issu stain sheet one bed abl front desk person chang sinc maid gone otber
719angie,beauti mansion alway want stay could use improv build definit need new mattress lumpi worn feel beauti antiqu wonder staff friendli help ideal locat quarter
719cromero,simpli spectacular fulli built latest technolog mmomento impecc luggag servic make free baggag check go room deliv addit cost open door room light come automat tv start music curtain open monitor
723timothyw,dont expect resort properti like mani beauti island properti charm histor natur ideal locat activ travel want island hop ferri front door 4 happi hour mai tai good
728debrac11,everyth ate fresh tasti best stuf blueberri french toast make sure tri pecan chicken melt mouth
72unsuited,nation trail motel grandfath motel greatgrandfath motor inn motor court word motel coin room small bathroom made room look spaciou twin bed right insid door over chest drawer bureau 25 inch pictur tube televi
730frequenttravels,gener room nice howev ac unit room cool adequ iron sprayedsteam rusti water would stay facil staff pleasant facil conveni interst
733clarac,love hotel got late find room light tv great didnt drag bag dark room find light comfort great sleep oh man great shower
74aprilm,stay one best stay ever hotel sceneri beauti sit balconi relax enjoy daughter love swim pool howev feel hot tub could littl bit cleaner
750josht,friendli employ alway look happi hard find day clean room great breakfast nice pool free cookiesteacoff hot chocol lobbi time plea kid 3 minut six flag
752karinc,special reserv request time book request grant phone howev upon arriv deliv bed funni smell would recommend anoth hotel travel brownsburg
752traciec,although one favorit place stay kauai left busi schedul noi citi get away find overlook noisi construct site told given upgrad known would like opportun choo room away
752tsant,linen clean pool area beauti entir desk staff eager give point recommend dine attract great valu price paid request ground floor elev
767christineq,tv would work even staff toilet seat almost fell use kid kept run floor 11pm
770arturor,hotel nice within walk distanc alamoriverwalk market groceri market next door extra breakfast furnish good room quit internet avail felt safe area
773tabithae,alway enjoy stay hotel like home away home ever issu best correct soon possibl room great bed comfortablethank choo best western plu portag 773tabatha great comment look forward see soon
778emily,excel place stay visit son famili live close stay nearli week took suit turn great choic us littl kitchen perfect need small sit area provid us bit
77Boomer,clean comfort free park free wifi free breakfast great place stay weekend cherok friendli staff nice water pressur shower conveni locat ask street view room balconi relax sit coff peopl watch
77ask2013,first time resort august 2012 return novemb 15 second visit two two bedroom suit parent stay 225 problem room endless cochroach issu spray twice vip clean still cochroach last visit spectacular visit
783janisp,bad valu price room dirti carpet stain curtain torn breakfast adequ wellprepar report noisi tenant floor final went sleep pass outnot certain staff anyth problem exterior litter need clean
786emilyn,amaz experi kid parent stay hour amen perfect well laid seem one left want anyth front desk support staff awesom speak one manag nice note spoke night around 1030pm
794rodneys,place awesom clean room pool breakfast good coff readi time help staff bed great problem anyth stay would stay hotel work
796valerim,stay locat sever time place gone downhil spent lot upgrad itnow need invest good staff bring back happi hour put handicap access roomso need type room well equip
79glennw,got need cloth shop done dinner drink el gaucho wonder hotel connect restaur experi would recommend anyon enjoy first class servic wonder food
7Parrotheads,hyatt place hotel alway wonder option travel famili particular hotel wonder help staff reason 3 star review hotel could use updat issu clean chair dine area stain filthi look dine dinner
7beagles,staff friendli profess hotel clean outsid pool area room clean comfort stay great locat get food walmart right next door
808wings,live previou review larg quiet room great view friendli staff littl date extrem smoki casino older crowd stay 6 nite hit strip coupl even didnt mind 20 min drive back hotel
810michellemm,nice hotel great staff young children entir staff front desk staff breakfast staff help us first visit portland area plan go back later summer stay hotel return
81fredc,wonder suit hotel flagstaff conveni although town see posit everyth clean effici run room simpl adequ need two night would fine longterm stay well realli delight hotel
823annmarie,courteou help staff impress cleanli hotel littl pricey compar hotel area gym clean equip well kept
836shopper,room clean well appoint good breakfast importantli front desk peopl friendli help hospit help restaur suggest inform area
844raymondd,easi check readi room arriv minim vend avail breakfast prepar packag food microwav heat abl see product room adequ somewhat steril accommod clearli hear room either side
846barryy,spent 3 week great room staff help attent pool major asset clean comfort
862Anonymous,holiday inn express clean bed super comfort locat right i40 take rear exit cross highway eat fantast meal saltgrass steakhou holiday inn offer wine beer snack lobbi 530730 pm next morn enjoy realli good cup coff
862kaiserp,strong smell hallway last room second floor internet work offer storag luggag servic allow leav luggag checkout extrem rude clerk answer checkout
865newbie,first book hotel use hotelscom 2 star fine sinc need quick place sleep could go back univ studio morn expect much got much wor went check give extra
